ID,speaker,dialogue,,,,,,,
text_diag_000020_012,choice,공부도 실력이다.,,,,,,,
text_diag_000020_013,player,열심히 해라. 빠질 생각 말고.,,,,,,,
text_diag_000020_014,student,아....,,,,,,,
text_diag_000020_015,student,감독님 진짜 너무해요.,,,,,,,
text_diag_000020_016,choice,안돼.,,,,,,,
text_diag_000020_017,student,네...,,,,,,,
text_diag_000020_018,player,그런데 오늘 말이지.,,,,,,,
text_diag_000020_019,player,내가 뒷문 잠그는걸,,,,,,,
text_diag_000020_020,player,5분 정도 깜빡 할 것 같단 말이지?,,,,,,,
text_diag_000020_021,student,...!,,,,,,,
text_diag_000020_022,student,(소리 안나게),,,,,,,
text_diag_000020_023,student,(슬리퍼 들고 뛰어가겠습니다.),,,,,,,
text_diag_000020_024,student,(충성!),,,,,,,
text_diag_100000_000,student,"환영합니다, 코치님. 앞으로도 잘 부탁 드립니다.",,,,,,,
text_diag_100001_000,student,{target1.grade} {target1.name} 학생이 금일 지각하였습니다. 계도 부탁 드립니다.,,,,,,,
text_diag_100002_000,student,금일 체육관 조명 교체 작업이 예정되어 있습니다. 소음이 발생할 수 있으니 양해 바랍니다.,,,,,,,
text_diag_110000_000,student,소속 학생의 병결 신고 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 인플루엔자,,,,,,,
text_diag_110001_000,student,소속 학생의 병결 신고 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 급성 장염,,,,,,,
text_diag_110002_000,student,소속 학생의 병결 신고 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 우울증,,,,,,,
text_diag_111001_000,student,소속 학생의 입원 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 타박상,,,,,,,
text_diag_111002_000,student,소속 학생의 입원 신고 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 운동 중 발목 염좌,,,,,,,
text_diag_111003_000,student,소속 학생의 입원 신고 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 손가락 인대 부상,,,,,,,
text_diag_111004_000,student,소속 학생의 입원 신고 내역을 다음과 같이 안내드립니다.\n\n대상: 농구부 {target1.grade} {target1.name} 학생\n사유: 십자인대 부상,,,,,,,
text_diag_200001_000,student,오늘 오후 부실에서 간식을 제공하니 후배들은 부담 없이 참석 바랍니다.\n- 한울고등학교 3기 농구부 주장 김 바스켓볼,,,,,,,ㅇ
text_diag_200002_000,student,내용: 지역 아동 센터 일일 농구 재능 기부\n주관: 한울동 주민 자치 위원회\n\n본교의 교육 가치를 실천해 주신 농구부에 깊은 감사를 표합니다.,,,,,,,
text_diag_200003_000,student,학부모회로부터 기탁된 농구부 특별 활동 지원 예산이 승인되었습니다.\n금일부터 훈련 용품 및 음료 구매 비용으로 집행 가능함을 알려드립니다,,,,,,,
